,auc,f1,precision,recall,model,outcome,modelname,accuracy,auc_micro,auc_mean,auc_weighted
0,0.772370486656201,0.6213592233009708,0.6808510638297872,0.5714285714285714,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=0.1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",decision1,svc-linear-C:0.1,,,,
1,0.8123904149620105,0.888,0.8409090909090909,0.940677966101695,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=0.1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",decision2,svc-linear-C:0.1,,,,
2,0.4985257985257985,0.0,0.0,0.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=0.1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",decision3,svc-linear-C:0.1,,,,
3,0.6001908396946565,0.9424460431654677,0.891156462585034,1.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=0.1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",survival,svc-linear-C:0.1,,,,
4,0.6907608695652174,0.06060606060606061,1.0,0.03125,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=0.1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",ft,svc-linear-C:0.1,,,,
5,0.8382072472981563,0.06896551724137931,0.3333333333333333,0.038461538461538464,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=0.1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",aspiration,svc-linear-C:0.1,,,,
6,0.492929292929293,0.9462365591397849,0.8979591836734694,1.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=0.1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",lr_control,svc-linear-C:0.1,,,,
7,0.6798128342245989,0.0,0.0,0.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=0.1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",DLT_Gastrointestinal,svc-linear-C:0.1,,,,
8,0.5354609929078014,0.0,0.0,0.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=0.1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",DLT_Dermatological,svc-linear-C:0.1,,,,
9,0.5925925925925926,0.0,0.0,0.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=0.1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",DLT_Other,svc-linear-C:0.1,,,,
10,0.48450704225352115,0.0,0.0,0.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=0.1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",DLT_Neurological,svc-linear-C:0.1,,,,
11,0.412962962962963,0.0,0.0,0.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=0.1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",DLT_Hematological,svc-linear-C:0.1,,,,
12,0.6265432098765432,0.0,0.0,0.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=0.1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",DLT_Gastrointestinal 2,svc-linear-C:0.1,,,,
13,0.6309859154929578,0.0,0.0,0.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=0.1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",DLT_Dermatological 2,svc-linear-C:0.1,,,,
14,0.4444444444444444,0.0,0.0,0.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=0.1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",DLT_Other 2,svc-linear-C:0.1,,,,
15,0.4338028169014085,0.0,0.0,0.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=0.1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",DLT_Neurological 2,svc-linear-C:0.1,,,,
16,0.5795918367346939,0.0,0.0,0.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=0.1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",DLT_Hematological 2,svc-linear-C:0.1,,,,
17,0.8812458662882275,,,,"SVC(C=0.1, class_weight='balanced', kernel='linear', probability=True,
    random_state=0)",pd_states1,svc-linear-C:0.1,0.4997198879551821,0.8812458662882275,0.8812458662882275,0.9043652785079684
