auc,f1,precision,recall,model,outcome,modelname,accuracy,auc_micro,auc_mean,auc_weighted
0.772370486656201,0.6213592233009708,0.6808510638297872,0.5714285714285714,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=0.1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",decision1,svc-linear-C:0.1,,,,
0.8123904149620105,0.888,0.8409090909090909,0.940677966101695,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=0.1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",decision2,svc-linear-C:0.1,,,,
0.5044226044226043,0.0,0.0,0.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=0.1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",decision3,svc-linear-C:0.1,,,,
0.6001908396946565,0.9424460431654677,0.891156462585034,1.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=0.1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",survival,svc-linear-C:0.1,,,,
0.6907608695652174,0.06060606060606061,1.0,0.03125,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=0.1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",ft,svc-linear-C:0.1,,,,
0.8382072472981563,0.06896551724137931,0.3333333333333333,0.038461538461538464,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=0.1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",aspiration,svc-linear-C:0.1,,,,
0.492929292929293,0.9462365591397849,0.8979591836734694,1.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=0.1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",lr_control,svc-linear-C:0.1,,,,
0.6798128342245989,0.0,0.0,0.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=0.1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",DLT_Gastrointestinal,svc-linear-C:0.1,,,,
0.5354609929078014,0.0,0.0,0.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=0.1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",DLT_Dermatological,svc-linear-C:0.1,,,,
0.5925925925925926,0.0,0.0,0.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=0.1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",DLT_Other,svc-linear-C:0.1,,,,
0.48450704225352115,0.0,0.0,0.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=0.1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",DLT_Neurological,svc-linear-C:0.1,,,,
0.412962962962963,0.0,0.0,0.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=0.1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",DLT_Hematological,svc-linear-C:0.1,,,,
0.6265432098765432,0.0,0.0,0.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=0.1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",DLT_Gastrointestinal 2,svc-linear-C:0.1,,,,
0.6309859154929578,0.0,0.0,0.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=0.1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",DLT_Dermatological 2,svc-linear-C:0.1,,,,
0.4444444444444444,0.0,0.0,0.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=0.1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",DLT_Other 2,svc-linear-C:0.1,,,,
0.4338028169014085,0.0,0.0,0.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=0.1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",DLT_Neurological 2,svc-linear-C:0.1,,,,
0.5795918367346939,0.0,0.0,0.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=0.1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",DLT_Hematological 2,svc-linear-C:0.1,,,,
0.8812458662882275,,,,"SVC(C=0.1, class_weight='balanced', kernel='linear', probability=True,
    random_state=0)",pd_states1,svc-linear-C:0.1,0.4997198879551821,0.8812458662882275,0.8812458662882275,0.9043652785079684
0.8825563016146919,,,,"SVC(C=0.1, class_weight='balanced', kernel='linear', probability=True,
    random_state=0)",nd_states1,svc-linear-C:0.1,0.6366666666666667,0.8825563016146919,0.8825563016146919,0.9339933740256874
0.589850674551114,,,,"SVC(C=0.1, class_weight='balanced', kernel='linear', probability=True,
    random_state=0)",pd_states2,svc-linear-C:0.1,0.3333333333333333,0.589850674551114,0.589850674551114,0.6463912711939983
0.4695424815904993,,,,"SVC(C=0.1, class_weight='balanced', kernel='linear', probability=True,
    random_state=0)",nd_states2,svc-linear-C:0.1,0.30697825381369687,0.4695424815904993,0.4695424815904993,0.46895506169947665
0.7959183673469388,0.6078431372549019,0.6739130434782609,0.5535714285714286,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",decision1,svc-linear-C:1,,,,
0.787843366452367,0.8809523809523809,0.8283582089552238,0.940677966101695,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",decision2,svc-linear-C:1,,,,
0.4670761670761671,0.0,0.0,0.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",decision3,svc-linear-C:1,,,,
0.6364503816793894,0.9424460431654677,0.891156462585034,1.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",survival,svc-linear-C:1,,,,
0.6461956521739132,0.0,0.0,0.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",ft,svc-linear-C:1,,,,
0.8207247298156389,0.0,0.0,0.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",aspiration,svc-linear-C:1,,,,
0.44393939393939397,0.9462365591397849,0.8979591836734694,1.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",lr_control,svc-linear-C:1,,,,
0.643048128342246,0.0,0.0,0.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",DLT_Gastrointestinal,svc-linear-C:1,,,,
0.5082742316784871,0.0,0.0,0.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",DLT_Dermatological,svc-linear-C:1,,,,
0.6134259259259258,0.0,0.0,0.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",DLT_Other,svc-linear-C:1,,,,
0.519718309859155,0.0,0.0,0.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",DLT_Neurological,svc-linear-C:1,,,,
0.5450617283950617,0.0,0.0,0.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",DLT_Hematological,svc-linear-C:1,,,,
0.5975308641975309,0.0,0.0,0.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",DLT_Gastrointestinal 2,svc-linear-C:1,,,,
0.6619718309859155,0.0,0.0,0.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",DLT_Dermatological 2,svc-linear-C:1,,,,
0.49999999999999994,0.0,0.0,0.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",DLT_Other 2,svc-linear-C:1,,,,
0.4507042253521127,0.0,0.0,0.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",DLT_Neurological 2,svc-linear-C:1,,,,
0.4877551020408163,0.0,0.0,0.0,"CalibratedClassifierCV(cv=3,
                       estimator=SVC(C=1, class_weight='balanced',
                                     kernel='linear', probability=True,
                                     random_state=0))",DLT_Hematological 2,svc-linear-C:1,,,,
0.8424667729872762,,,,"SVC(C=1, class_weight='balanced', kernel='linear', probability=True,
    random_state=0)",pd_states1,svc-linear-C:1,0.46532212885154056,0.8424667729872762,0.8424667729872762,0.9008624657252962
0.9030673185062774,,,,"SVC(C=1, class_weight='balanced', kernel='linear', probability=True,
    random_state=0)",nd_states1,svc-linear-C:1,0.6366666666666667,0.9030673185062774,0.9030673185062774,0.9380454929337982
0.5530735074653352,,,,"SVC(C=1, class_weight='balanced', kernel='linear', probability=True,
    random_state=0)",pd_states2,svc-linear-C:1,0.3333333333333333,0.5530735074653352,0.5530735074653352,0.6028101180080222
0.5745115900565869,,,,"SVC(C=1, class_weight='balanced', kernel='linear', probability=True,
    random_state=0)",nd_states2,svc-linear-C:1,0.3597533268419344,0.5745115900565869,0.5745115900565869,0.5245672117085317
